# ES Parsing Summary Log
# Generated: 2025-08-31 17:40:45
# Timestamp: 20250831_174045
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
ES - 001 - A LA VÍCTIMA PASCUAL.chordpro | A LA VÍCTIMA PASCUAL | 3 roles | 26 verses | Fa, Fa 7, La 7, La–, Mi, Re–, Re– 9
ES - 002 - A NADIE DEMOS OCASIÓN DE TROPIEZO.chordpro | A NADIE DEMOS OCASIÓN DE TROPIEZO | 9 roles | 35 verses | Fa, La 7, La–, Mi, Re–
ES - 003 - A TI LEVANTO MIS OJOS.chordpro | A TI LEVANTO MIS OJOS | 11 roles | 15 verses | La 7, Re–, Sib 7, Sol–
ES - 004 - A TI, SEÑOR, EN MI CLAMOR IMPLORO.chordpro | A TI, SEÑOR, EN MI CLAMOR IMPLORO | 6 roles | 26 verses | Fa, La–, Mi, Mi 7, Re–, Sol
ES - 005 - A TI, SEÑOR, LEVANTO MI ALMA.chordpro | A TI, SEÑOR, LEVANTO MI ALMA | 5 roles | 14 verses | Fa, La–, Mi, Re–
ES - 006 - A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN.chordpro | A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN | 6 roles | 23 verses | La 7, Re–, Sib 7, Sol–
ES - 007 - ABRAHAM.chordpro | ABRAHAM | 4 roles | 26 verses | Fa, La–, Mi, Re–, Sol
ES - 008 - ACLAMAD AL SEÑOR.chordpro | ACLAMAD AL SEÑOR | 11 roles | 18 verses | Fa, La, La 7, Re–, Sol, Sol–
ES - 009 - AL DESPERTAR.chordpro | AL DESPERTAR | 9 roles | 42 verses | Fa#, Mi–, Si–, Sol
ES - 010 - ALABAD AL SEÑOR EN EL CIELO.chordpro | ALABAD AL SEÑOR EN EL CIELO | 14 roles | 39 verses | Fa#–, La
ES - 011 - ALEGRÍA, HA NACIDO EL SALVADOR.chordpro | ALEGRÍA, HA NACIDO EL SALVADOR | 10 roles | 15 verses | Do 7, Do#, Fa, La, Re–, Sib, Sol–
