# ES Parsing Summary Log
# Generated: 2025-09-01 17:05:34
# Timestamp: 20250901_170534
📊 Processing Summary:
   ✅ Processed: 222 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\es\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
ES - 001 - A LA VÍCTIMA PASCUAL.chordpro | A LA VÍCTIMA PASCUAL | 3 roles | 26 verses | Fa, Fa 7, La 7, La–, Mi, Re–, Re– 9
ES - 002 - A NADIE DEMOS OCASIÓN DE TROPIEZO.chordpro | A NADIE DEMOS OCASIÓN DE TROPIEZO | 9 roles | 35 verses | Fa, La 7, La–, Mi, Re–
ES - 003 - A TI LEVANTO MIS OJOS.chordpro | A TI LEVANTO MIS OJOS | 11 roles | 15 verses | La 7, Re–, Sib 7, Sol–
ES - 004 - A TI, SEÑOR, EN MI CLAMOR IMPLORO.chordpro | A TI, SEÑOR, EN MI CLAMOR IMPLORO | 6 roles | 26 verses | Fa, La–, Mi, Mi 7, Re–, Sol
ES - 005 - A TI, SEÑOR, LEVANTO MI ALMA.chordpro | A TI, SEÑOR, LEVANTO MI ALMA | 5 roles | 14 verses | Fa, La–, Mi, Re–
ES - 006 - A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN.chordpro | A TI, SEÑOR, SE DEBE LA ALABANZA EN SIÓN | 6 roles | 23 verses | La 7, Re–, Sib 7, Sol–
ES - 007 - ABRAHAM.chordpro | ABRAHAM | 4 roles | 26 verses | Fa, La–, Mi, Re–, Sol
ES - 008 - ACLAMAD AL SEÑOR.chordpro | ACLAMAD AL SEÑOR | 11 roles | 18 verses | Fa, La, La 7, Re–, Sol, Sol–
ES - 009 - AL DESPERTAR.chordpro | AL DESPERTAR | 9 roles | 42 verses | Fa#, Mi–, Si–, Sol
ES - 010 - ALABAD AL SEÑOR EN EL CIELO.chordpro | ALABAD AL SEÑOR EN EL CIELO | 14 roles | 39 verses | Fa#–, La
ES - 011 - ALEGRÍA, HA NACIDO EL SALVADOR.chordpro | ALEGRÍA, HA NACIDO EL SALVADOR | 10 roles | 15 verses | Do 7, Do#, Fa, La, Re–, Sib, Sol–
ES - 012 - ALELUYA, ALABAD AL SEÑOR.chordpro | ALELUYA, ALABAD AL SEÑOR | 8 roles | 17 verses | La, Mi, Re
ES - 013 - ALELUYA, BENDECID AL SEÑOR.chordpro | ALELUYA, BENDECID AL SEÑOR | 6 roles | 17 verses | La, La 7, Re–, Sib
ES - 014 - ALELUYA, YA LLEGÓ EL REINO.chordpro | ALELUYA, YA LLEGÓ EL REINO | 7 roles | 13 verses | Do, La–, Mi
ES - 015 - ALZAOS PUERTAS.chordpro | ALZAOS PUERTAS | 30 roles | 35 verses | La, La–, Mi, Mi–, Si, Si 7, Si–, Sol
ES - 016 - AMÉN, AMÉN, AMÉN.chordpro | AMÉN, AMÉN, AMÉN | 10 roles | 23 verses | Do, Fa, La–, Mi, Sol, Sol 7
ES - 017 - AMO AL SEÑOR.chordpro | AMO AL SEÑOR | 5 roles | 24 verses | Fa#–, La 7, Mi– 6, Re, Sol
ES - 018 - AQUEDAH.chordpro | AQUEDAH | 7 roles | 20 verses | La–, Mi, Mi 7, Re–, Re– 9
ES - 019 - AVE MARÍA I.chordpro | AVE MARÍA I | 2 roles | 12 verses | Do, Fa, La–, Mi, Re–
ES - 020 - AVE MARÍA II (1984).chordpro | AVE MARÍA II (1984) | 2 roles | 13 verses | Do |Mi |Fa             Mi, Do |Mi |Fa   Mi, Do |Mi |Fa  Mi, Fa, Mi
ES - 021 - BABILONIA CRIMINAL.chordpro | BABILONIA CRIMINAL | 6 roles | 32 verses | La–, Mi–, Re, Si 7
ES - 022 - BALAAM.chordpro | BALAAM | 9 roles | 35 verses | Mi–, Re, Si–, Sol
ES - 023 - BENDECIRÉ AL SEÑOR EN TODO TIEMPO.chordpro | BENDECIRÉ AL SEÑOR EN TODO TIEMPO | 7 roles | 25 verses | Do, La, La 7, Re–, Sib
ES - 024 - BENDICE, ALMA MÍA, A YAHVEH.chordpro | BENDICE, ALMA MÍA, A YAHVEH | 3 roles | 13 verses | La–, Mi, Re–
ES - 025 - BENDITA ERES TÚ, MARÍA.chordpro | BENDITA ERES TÚ, MARÍA | 5 roles | 14 verses | Fa, La–, Mi, Re–, Sol
ES - 026 - BENDITO ERES, SEÑOR.chordpro | BENDITO ERES, SEÑOR | 16 roles | 24 verses | Do, Fa#–, La, Mi, Mi–, Re, Si, Si 7, Sol
ES - 027 - BENEDICTUS.chordpro | BENEDICTUS | 8 roles | 33 verses | La 7, Re–, Sol–
ES - 028 - CANTAD A DIOS.chordpro | CANTAD A DIOS | 4 roles | 15 verses | Mi, Re– 9
ES - 029 - CANTAD AL SEÑOR.chordpro | CANTAD AL SEÑOR | 5 roles | 11 verses | Do, La–, Si 7, Sol
ES - 030 - CÁNTICO DE LOS TRES JÓVENES.chordpro | CÁNTICO DE LOS TRES JÓVENES | 13 roles | 41 verses | La–, Mi 7
ES - 031 - CANTO DE MOISÉS.chordpro | CANTO DE MOISÉS | 16 roles | 41 verses | Do 7, Fa, La 7, Re 7, Sol 7
ES - 032 - CARITAS CHRISTI URGET NOS.chordpro | CARITAS CHRISTI URGET NOS | 11 roles | 25 verses | Do, Fa, La 7, La–, Mi, Re–, Re– 9, Sol
ES - 033 - CÓMO ES MARAVILLOSO.chordpro | CÓMO ES MARAVILLOSO | 17 roles | 18 verses | Do, La–, Mi–, Re 7, Si 7, Si–, Sol
ES - 034 - COMO LA CIERVA.chordpro | COMO LA CIERVA | 9 roles | 36 verses | Do# 7, Do#–, Fa#–, La, La             Si     Si |La# | La, Mi, Si 7, Sol#
ES - 035 - CRISTO ES LA LUZ.chordpro | CRISTO ES LA LUZ | 20 roles | 25 verses | Do, La–, Re–, Sol
ES - 036 - CUANDO EL SEÑOR.chordpro | CUANDO EL SEÑOR | 4 roles | 15 verses | La, Mi–, Re, Sol
ES - 037 - CUANDO ISRAEL SALIÓ DE EGIPTO.chordpro | CUANDO ISRAEL SALIÓ DE EGIPTO | 5 roles | 18 verses | Fa, Fa#, La, La–, Mi, Re, Si–, Sol
ES - 038 - DAYENÚ.chordpro | DAYENÚ | 32 roles | 76 verses | Do, La–, Mi–, Re, Si 7
ES - 039 - DE PROFUNDIS.chordpro | DE PROFUNDIS | 8 roles | 16 verses | Fa, Fa 7, La–, Mi, Mi 7, Sol
ES - 040 - DECIDLE A LOS DE CORAZÓN CANSADO.chordpro | DECIDLE A LOS DE CORAZÓN CANSADO | 9 roles | 27 verses | Do, Fa, La–, Mi, Mi–, Re– 9
ES - 041 - DELANTE DE LOS ÁNGELES.chordpro | DELANTE DE LOS ÁNGELES | 9 roles | 29 verses | Do, Fa, Mi, Re– 9, Sol
ES - 042 - DÍA DE REPOSO.chordpro | DÍA DE REPOSO | 10 roles | 15 verses | La–, Mi–
ES - 043 - DICE EL SEÑOR A MI SEÑOR.chordpro | DICE EL SEÑOR A MI SEÑOR | 5 roles | 28 verses | Do#–, La, Mi, Si, Si 7, Sol#
ES - 044 - DICHOSO EL HOMBRE.chordpro | DICHOSO EL HOMBRE | 8 roles | 26 verses | Fa, La–, Mi, Sol
ES - 045 - EL NECIO PIENSA QUE DIOS NO EXISTE.chordpro | EL NECIO PIENSA QUE DIOS NO EXISTE | 7 roles | 24 verses | Do, Fa, La 7, La–, Re–, Sib, Sol–
ES - 046 - EL PUEBLO QUE CAMINABA EN LAS TINIEBLAS.chordpro | EL PUEBLO QUE CAMINABA EN LAS TINIEBLAS | 4 roles | 27 verses | Do, Fa, La–, Sol, Sol#
ES - 047 - EL SEÑOR ANUNCIA UNA NOTICIA.chordpro | EL SEÑOR ANUNCIA UNA NOTICIA | 5 roles | 17 verses | La, La–, Mi–, Si–, Sol
