date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:05	130/130	---MCZ	200	added ('OK')	text/plain	etag:W/%224e2106ba0369b6c46b3fa397100adb11%22	https://risuscito.it/robots.txt		(from )
17:26:05	7773/7773	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202025%2015:26:04%20GMT	https://risuscito.it/	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/index.html	(from )
17:26:05	34514/34514	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b046d79d058c37aa3bf396f14fb6630e%22	https://risuscito.it/favicon.svg	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/favicon.svg	(from https://risuscito.it/)
17:26:05	92564/92564	---M--	200	added ('OK')	image/jpeg	etag:%22d941a97cf15c3c00dfa7674824941d2b%22	https://risuscito.it/img/icon.jpg	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/icon.jpg	(from https://risuscito.it/)
17:26:05	183/183	---MCZ	200	added ('OK')	application/xml	etag:W/%22c69b27520498a85fae7d89509ff22144%22	https://risuscito.it/sitemap-index.xml	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/sitemap-index.xml	(from https://risuscito.it/)
17:26:05	3149/3149	---M--	200	added ('OK')	image/png	etag:%22ef019db830853237bfe71ed2ed6d3e87%22	https://risuscito.it/img/apple-icon-57x57.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-57x57.png	(from https://risuscito.it/)
17:26:06	3411/3411	---M--	200	added ('OK')	image/png	etag:%22067c6be91c94535e4f3a0d37baa1dc2b%22	https://risuscito.it/img/apple-icon-60x60.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-60x60.png	(from https://risuscito.it/)
17:26:06	4490/4490	---M--	200	added ('OK')	image/png	etag:%22f4c5e6832b345649f59f492dff26575d%22	https://risuscito.it/img/apple-icon-72x72.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-72x72.png	(from https://risuscito.it/)
17:26:06	4864/4864	---M--	200	added ('OK')	image/png	etag:%2262cdeee59665f43d49e029fa821aeb91%22	https://risuscito.it/img/apple-icon-76x76.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-76x76.png	(from https://risuscito.it/)
17:26:06	9156/9156	---M--	200	added ('OK')	image/png	etag:%2277f04c1add74c884fbdb09b1c44cf690%22	https://risuscito.it/img/apple-icon-114x114.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-114x114.png	(from https://risuscito.it/)
17:26:06	9939/9939	---M--	200	added ('OK')	image/png	etag:%22f9a41853d22ca31de128c9dfc78463aa%22	https://risuscito.it/img/apple-icon-120x120.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-120x120.png	(from https://risuscito.it/)
17:26:07	13413/13413	---M--	200	added ('OK')	image/png	etag:%2265c58e25f61dde53de54652a26fd2140%22	https://risuscito.it/img/apple-icon-144x144.png	C:/Dev/github/pjesmarica_new/IT-NEW/PDF/risuscito.it/img/apple-icon-144x144.png	(from https://risuscito.it/)
