# IT Parsing Summary Log
# Generated: 2025-09-01 16:46:49
# Timestamp: 20250901_164649
📊 Processing Summary:
   ✅ Processed: 225 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\it\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
IT - 001 - A TE LEVO I MIEI OCCHI.chordpro | A TE LEVO I MIEI OCCHI | 5 roles | 21 verses | La, La7, Re m, Sib, Sol m
IT - 002 - A TE, SIGNOR, INNALZO LA MIA ANIMA.chordpro | A TE, SIGNOR, INNALZO LA MIA ANIMA | 5 roles | 16 verses | Fa, La m, Mi, Re m
IT - 003 - A TE, SIGNORE, CON LA MIA VOCE GRIDO AIUTO.chordpro | A TE, SIGNORE, CON LA MIA VOCE GRIDO AIUTO | 5 roles | 26 verses | Fa, La m, Mi, Mi7, Re m, Sol
IT - 004 - A TE, SIGNORE, SI DEVE LODE IN SION.chordpro | A TE, SIGNORE, SI DEVE LODE IN SION | 7 roles | 19 verses | La7, Re m, Sib, Sol m
IT - 005 - ABBÀ, PADRE.chordpro | ABBÀ, PADRE | 3 roles | 14 verses | Do, Fa, La m, Mi, Mi7, Re m, Sol, Sol7
IT - 006 - ABRAMO.chordpro | ABRAMO | 4 roles | 35 verses | Fa, La m, Mi, Mi7, Re m, Sol
IT - 007 - ACCLAMAZIONE AL VANGELO.chordpro | ACCLAMAZIONE AL VANGELO | 12 roles | 18 verses | La, La m, La7, Mi m, Re, Si m, Sol
IT - 008 - AGNELLA DI DIO.chordpro | AGNELLA DI DIO | 10 roles | 34 verses | Do, La m, Mi m, Si7
IT - 009 - AGNELLO DI DIO.chordpro | AGNELLO DI DIO | 4 roles | 20 verses | Fa, La m, Mi, Sol
IT - 010 - AKEDÀ.chordpro | AKEDÀ | 6 roles | 21 verses | La m, Mi, Mi7, Re m9
IT - 011 - AL RISVEGLIO MI SAZIERÒ DEL TUO VOLTO, SIGNOR.chordpro | AL RISVEGLIO MI SAZIERÒ DEL TUO VOLTO, SIGNOR | 9 roles | 44 verses | Do m, Fa m, Sol, Sol#
IT - 012 - ALLA VITTIMA PASQUALE.chordpro | ALLA VITTIMA PASQUALE | 6 roles | 23 verses | Fa, Fa maj7, La m, La7, Mi, Re m
IT - 013 - ALLEGRIA! ALLEGRIA! OGGI È NATO IL SALVATORE.chordpro | ALLEGRIA! ALLEGRIA! OGGI È NATO IL SALVATORE | 8 roles | 24 verses | Do, Fa, La m, Mi, Mi7, Re m, Sol, Sol#
IT - 014 - ALLELUIA PASQUALE.chordpro | ALLELUIA PASQUALE | 8 roles | 9 verses | La, Re
IT - 015 - ALZATE, O PORTE.chordpro | ALZATE, O PORTE | 26 roles | 34 verses | La, La m, Mi, Mi m, Si, Si m, Si7, Sol
IT - 016 - ALZO GLI OCCHI VERSO I MONTI.chordpro | ALZO GLI OCCHI VERSO I MONTI | 7 roles | 23 verses | Do, Re, Si m, Sol
IT - 017 - AMEN, AMEN, AMEN.chordpro | AMEN, AMEN, AMEN | 7 roles | 33 verses | Do, Fa, La m, Mi m, Sol, Sol7
IT - 018 - AMO IL SIGNORE.chordpro | AMO IL SIGNORE | 4 roles | 29 verses | Do, La m, Re, Re7, Si m, Sol
IT - 019 - ANDATE ED ANNUNZIATE AI MIEI FRATELLI.chordpro | ANDATE ED ANNUNZIATE AI MIEI FRATELLI | 10 roles | 24 verses | Do, Fa, La m, Mi, Re m, Sol
