# SL Parsing Summary Log
# Generated: 2025-08-27 11:43:49
# Timestamp: 20250827_114349
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 001 - KRATKE SPOKORNE LITANIJE.chordpro | KRATKE SPOKORNE LITANIJE | 20 verses | C, H7, a, e
SL - 002 - SPOKORNE LITANIJE.chordpro | SPOKORNE LITANIJE | 3 verses | C, H7, a, e
SL - 003 - HVALNICA ZA SPOKORNO BOGOSLUŽJE.chordpro | HVALNICA ZA SPOKORNO BOGOSLUŽJE | 9 verses | E, E7, F, G, a, d
SL - 004 - SLAVA BOGU NA VIŠAVAH.chordpro | SLAVA BOGU NA VIŠAVAH | 9 verses | A, D, G, e, fis
SL - 005 - SVET JE SVET (Postni èas).chordpro | SVET JE SVET (Postni èas) | 11 verses | G, a, e
SL - 006 - SVET (med letom).chordpro | SVET (med letom) | 5 verses | E, F, G, a
SL - 007 - SVET JE GOSPOD - SVET IZ BARAK (Adventni èas).chordpro | SVET JE GOSPOD - SVET IZ BARAK (Adventni èas) | 6 verses | A, E, E7, F, a
SL - 008 - SVET SVET SVET - HOZANA CVETNE NEDELJE (in velikonoènega èasa).chordpro | SVET SVET SVET - HOZANA CVETNE NEDELJE (in velikonoènega èasa) | 5 verses | A, A7, d, g
SL - 009 - SVET, SVET, SVET (1988).chordpro | SVET, SVET, SVET (1988) | 11 verses | E, F, G, a
SL - 010 - SVET (1983).chordpro | SVET (1983) | 5 verses | E, F, G, a, d
SL - 011 - DRUGA EVHARISTIÈNA MOLITEV (1).chordpro | DRUGA EVHARISTIÈNA MOLITEV (1) | 15 verses | A7, C, D, E, E7, F, G, H7, a, d, e, g
SL - 012 - BLAGOSLOV KRSTNE VODE.chordpro | BLAGOSLOV KRSTNE VODE | 8 verses | C, D, H7, a, e
SL - 013 - VELIKONOÈNI HVALOSPEV.chordpro | VELIKONOÈNI HVALOSPEV | 16 verses | C, E, F, G, a
SL - 014 - VELIKONOÈNI EVHARISTIÈNI HVALOSPEV.chordpro | VELIKONOÈNI EVHARISTIÈNI HVALOSPEV | 9 verses | E, E7, F, G, a, d
SL - 015 - PESEM ADVENTNIH HVALNIC DO 16. DECEMBRA.chordpro | PESEM ADVENTNIH HVALNIC DO 16. DECEMBRA | 5 verses | G, a
SL - 016 - PESEM ADVENTNIH HVALNIC PO 16. DECEMBRU.chordpro | PESEM ADVENTNIH HVALNIC PO 16. DECEMBRU | 6 verses | G, a
SL - 017 - PESEM PRI HVALNICAH MED PASHO IN VNEBOHODOM.chordpro | PESEM PRI HVALNICAH MED PASHO IN VNEBOHODOM | 10 verses | E, F, G, a
SL - 018 - PESEM VEÈERNIC DO GOSPODOVEGA VNEBOVHODA.chordpro | PESEM VEÈERNIC DO GOSPODOVEGA VNEBOVHODA | 11 verses | E, F, G, a
SL - 019 - PESEM VEÈERNIC VNEBOHODA.chordpro | PESEM VEÈERNIC VNEBOHODA | 7 verses | G, a
SL - 020 - BINKOŠTNA HVALNICA PRIDI, STVARNIK SVETI DUH.chordpro | BINKOŠTNA HVALNICA: PRIDI, STVARNIK SVETI DUH | 11 verses | G, a
SL - 021 - PESEM PRI BINKOŠTNIH HVALNICAH.chordpro | PESEM PRI BINKOŠTNIH HVALNICAH | 11 verses | G, a
SL - 022 - BINKOŠTNA SLEDNICA (PRIDI, SVETI DUH, PRIDI).chordpro | BINKOŠTNA SLEDNICA (PRIDI, SVETI DUH, PRIDI) | 13 verses | C, E, F
SL - 023 - DRUGA EVHARISTIÈNA MOLITEV (2).chordpro | DRUGA EVHARISTIÈNA MOLITEV (2) | 15 verses | A, A7, F, G, a, d, e, g, h
SL - 024 - VELIKONOÈNI ALELUJA.chordpro | VELIKONOÈNI ALELUJA | 6 verses | A, D
SL - 025 - ALELUJA PRED EVANGELIJEM.chordpro | ALELUJA PRED EVANGELIJEM | 6 verses | A, A7, D, G, a, e, h
SL - 026 - ODPEV PRED EVANGELIJEM V POSTNEM ÈASU.chordpro | ODPEV PRED EVANGELIJEM V POSTNEM ÈASU | 2 verses | A, D, G
SL - 027 - TE DEUM.chordpro | TE DEUM | 2 verses | C, E, E7, G, a
