# SL Parsing Summary Log
# Generated: 2025-09-01 19:04:16
# Timestamp: 20250901_190416
📊 Processing Summary:
   ✅ Processed: 232 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\sl\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 001 - KRATKE SPOKORNE LITANIJE.chordpro | KRATKE SPOKORNE LITANIJE | 20 roles | 28 verses | C, H7, a, e
SL - 002 - SPOKORNE LITANIJE.chordpro | SPOKORNE LITANIJE | 3 roles | 27 verses | C, H7, a, e
SL - 003 - HVALNICA ZA SPOKORNO BOGOSLUŽJE.chordpro | HVALNICA ZA SPOKORNO BOGOSLUŽJE | 9 roles | 33 verses | E, E7, F, G, a, d
SL - 004 - SLAVA BOGU NA VIŠAVAH.chordpro | SLAVA BOGU NA VIŠAVAH | 9 roles | 26 verses | A, D, G, e, fis
SL - 005 - SVET JE SVET (Postni čas).chordpro | SVET JE SVET (Postni čas) | 11 roles | 16 verses | G, a, e
SL - 006 - SVET (med letom).chordpro | SVET (med letom) | 5 roles | 16 verses | E, F, G, a
SL - 007 - SVET JE GOSPOD - SVET IZ BARAK (Adventni čas).chordpro | SVET JE GOSPOD - SVET IZ BARAK (Adventni čas) | 6 roles | 18 verses | A, E, E7, F, a
SL - 008 - SVET SVET SVET - HOZANA CVETNE NEDELJE (in velikonočnega časa).chordpro | SVET SVET SVET - HOZANA CVETNE NEDELJE (in velikonočnega časa) | 5 roles | 18 verses | A, A7, d, g
SL - 009 - SVET, SVET, SVET (1988).chordpro | SVET, SVET, SVET (1988) | 11 roles | 16 verses | E, F, G, a
SL - 010 - SVET (1983).chordpro | SVET (1983) | 5 roles | 18 verses | E, F, G, a, d
SL - 011 - DRUGA EVHARISTIČNA MOLITEV (1).chordpro | DRUGA EVHARISTIČNA MOLITEV (1) | 18 roles | 65 verses | A7, C, D, E, E7, F, G, H7, a, d, e, g
SL - 012 - BLAGOSLOV KRSTNE VODE.chordpro | BLAGOSLOV KRSTNE VODE | 8 roles | 50 verses | C, D, H7, a, e
SL - 013 - VELIKONOČNI HVALOSPEV.chordpro | VELIKONOČNI HVALOSPEV | 16 roles | 74 verses | C, E, F, G, a
SL - 014 - VELIKONOČNI EVHARISTIČNI HVALOSPEV.chordpro | VELIKONOČNI EVHARISTIČNI HVALOSPEV | 9 roles | 28 verses | E, E7, F, G, a, d
SL - 015 - PESEM ADVENTNIH HVALNIC DO 16. DECEMBRA.chordpro | PESEM ADVENTNIH HVALNIC DO 16. DECEMBRA | 5 roles | 21 verses | G, a
SL - 016 - PESEM ADVENTNIH HVALNIC PO 16. DECEMBRU.chordpro | PESEM ADVENTNIH HVALNIC PO 16. DECEMBRU | 6 roles | 21 verses | G, a
SL - 017 - PESEM PRI HVALNICAH MED PASHO IN VNEBOHODOM.chordpro | PESEM PRI HVALNICAH MED PASHO IN VNEBOHODOM | 10 roles | 23 verses | E, F, G, a
SL - 018 - PESEM VEČERNIC DO GOSPODOVEGA VNEBOVHODA.chordpro | PESEM VEČERNIC DO GOSPODOVEGA VNEBOVHODA | 11 roles | 29 verses | E, F, G, a
SL - 019 - PESEM VEČERNIC VNEBOHODA.chordpro | PESEM VEČERNIC VNEBOHODA | 7 roles | 19 verses | G, a
